Cluster	RA	DEC	l	b	Rsun	ERsun	R_GC	<RV>	ERV	mualpha	Emualpha	mu_delta	Emu_delta	rhopmrade	X	DX	Y	DY	Z	DZ	U	DU	V	DV	W	DW	RPERI	ERPERI	RAPO	ERAPO
	Name	[kpc]	[kpc]	[km/s]	[km/s]	[mas/yr]	[mas/yr]	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[km/s]	[km/s]	[km/s]	[km/s]	[km/s]	[km/s]	[kpc]	[kpc]
NGC_6316	259.155417	-28.140111	357.175	5.764	11.15	0.39	3.16	99.65	0.84	-4.969	0.031	-4.593	0.030	0.01	-2.90	0.38	-0.55	0.02	1.12	0.04	-85.29	0.85	-101.47	1.60	92.72	1.61	0.90	0.20	3.92	0.46
NGC_6341	259.280762	43.135944	68.338	34.859	8.50	0.07	9.85	-120.55	0.27	-4.935	0.024	-0.625	0.024	-0.01	5.61	0.02	6.48	0.05	4.85	0.04	23.14	0.92	39.65	0.66	98.14	0.81	1.24	0.03	10.61	0.06
NGC_6325	259.496327	-23.767677	0.971	8.003	7.53	0.32	1.28	29.54	0.58	-8.290	0.030	-9.000	0.029	0.02	0.72	0.32	0.13	0.01	1.05	0.04	-38.96	0.59	-179.79	1.05	73.40	1.05	1.04	0.03	1.31	0.13
NGC_6333	259.799086	-18.516257	5.544	10.705	8.30	0.14	1.73	310.75	2.12	-2.181	0.026	-3.223	0.025	-0.00	0.06	0.14	0.79	0.01	1.54	0.03	-329.54	2.08	129.33	1.03	66.37	1.09	1.21	0.02	6.15	0.12
NGC_6342	260.291573	-19.587659	4.898	9.725	8.01	0.23	1.54	115.75	0.90	-2.903	0.027	-7.117	0.027	-0.00	0.31	0.23	0.67	0.02	1.35	0.04	-158.86	0.90	-22.44	1.03	-29.65	1.03	0.83	0.09	1.67	0.05
NGC_6356	260.895804	-17.813027	6.724	10.220	15.66	0.92	7.86	48.18	1.82	-3.749	0.026	-3.392	0.026	0.01	-7.12	0.90	1.80	0.11	2.78	0.16	-83.69	1.81	-104.41	1.93	110.56	1.93	3.54	0.94	8.97	1.03
NGC_6355	260.993533	-26.352827	359.585	5.429	8.65	0.22	0.93	-195.85	0.55	-4.739	0.031	-0.573	0.030	0.02	-0.44	0.22	-0.06	0.00	0.82	0.02	198.81	0.56	125.71	1.23	136.25	1.25	0.79	0.07	1.48	0.25
NGC_6352	261.371277	-48.422169	341.421	-7.166	5.54	0.07	3.51	-125.63	1.01	-2.157	0.025	-4.447	0.025	0.01	2.96	0.07	-1.75	0.02	-0.69	0.01	150.09	0.97	170.58	0.70	6.01	0.67	3.08	0.02	3.94	0.07
IC_1257	261.785431	-7.093056	16.528	15.145	26.59	1.43	19.27	-137.97	2.04	-1.008	0.040	-1.492	0.032	0.09	-16.43	1.32	7.30	0.39	6.95	0.37	55.50	2.45	-3.79	4.28	-15.86	4.68	1.04	0.24	20.09	1.36
Ter_2	261.887917	-30.802333	356.319	2.298	7.75	0.33	0.74	134.56	0.96	-2.171	0.041	-6.261	0.038	0.03	0.45	0.32	-0.50	0.02	0.31	0.01	-132.60	0.97	8.25	1.44	-48.71	1.48	0.16	0.03	0.89	0.23
NGC_6366	261.934357	-5.079861	18.409	16.036	3.44	0.05	5.23	-120.65	0.19	-0.331	0.025	-5.160	0.024	0.01	5.04	0.05	1.05	0.02	0.95	0.01	65.20	0.24	147.19	0.38	-62.21	0.39	2.24	0.04	5.70	0.04
Ter_4	262.662506	-31.595528	356.024	1.308	7.59	0.31	0.82	-48.96	1.57	-5.452	0.061	-3.709	0.048	0.18	0.61	0.31	-0.53	0.02	0.17	0.01	55.00	1.57	37.00	1.90	96.68	2.09	0.20	0.05	0.86	0.21
HP_1	262.771667	-29.981667	357.425	2.115	7.00	0.14	1.26	39.76	1.22	2.522	0.039	-10.093	0.037	0.03	1.19	0.14	-0.31	0.01	0.26	0.01	-49.62	1.21	16.17	1.24	-244.51	1.26	0.74	0.13	1.69	0.11
FSR_1758	262.800000	-39.808000	349.217	-3.292	11.09	0.74	3.46	227.31	0.59	-2.881	0.026	2.519	0.026	-0.00	-2.69	0.72	-2.07	0.14	-0.64	0.04	-250.51	0.63	235.22	1.35	193.01	1.36	3.63	0.62	13.27	3.43
NGC_6362	262.979096	-67.048332	325.555	-17.570	7.65	0.07	5.20	-14.58	0.18	-5.505	0.024	-4.763	0.024	0.00	2.16	0.05	-4.12	0.04	-2.31	0.02	117.14	0.56	40.44	0.74	99.89	0.83	2.65	0.03	5.24	0.02
Lil_1	263.352333	-33.389556	354.840	-0.161	8.06	0.34	0.74	60.36	2.44	-5.378	0.108	-7.436	0.080	0.38	0.15	0.34	-0.72	0.03	-0.02	0.00	-39.77	2.46	-102.03	3.39	24.82	3.85	0.09	0.05	0.86	0.09
NGC_6380	263.618611	-39.069530	350.182	-3.422	9.61	0.30	2.15	-1.48	0.73	-2.182	0.032	-3.233	0.030	0.01	-1.27	0.30	-1.64	0.05	-0.57	0.02	20.39	0.76	77.47	1.37	11.51	1.41	0.28	0.06	2.12	0.25
Ter_1	263.946667	-30.481778	357.558	0.991	5.67	0.17	2.52	56.75	1.61	-2.804	0.057	-4.864	0.057	-0.02	2.51	0.17	-0.24	0.01	0.10	0.00	-61.48	1.60	99.13	1.53	1.19	1.53	0.59	0.10	2.69	0.20
Ton_2	264.039293	-38.540925	350.805	-3.414	6.99	0.34	1.76	-184.72	1.12	-5.904	0.030	-0.755	0.029	0.05	1.29	0.33	-1.11	0.05	-0.42	0.02	182.15	1.12	155.86	0.98	169.61	1.00	1.82	0.14	3.05	0.31
NGC_6388	264.071777	-44.735500	345.556	-6.738	11.17	0.16	3.99	83.11	0.45	-1.317	0.027	-2.708	0.026	-0.00	-2.57	0.16	-2.77	0.04	-1.31	0.02	-49.57	0.57	78.57	1.34	-19.14	1.39	1.15	0.03	4.06	0.12
NGC_6402	264.400651	-3.245916	21.324	14.804	9.14	0.25	3.97	-60.71	0.45	-3.590	0.026	-5.059	0.025	0.00	-0.06	0.23	3.21	0.09	2.34	0.06	-46.73	0.63	-20.82	1.05	19.78	1.09	0.56	0.08	4.28	0.13
NGC_6401	264.652191	-23.909605	3.450	3.980	8.06	0.24	0.75	-105.44	2.50	-2.747	0.035	1.445	0.034	0.02	0.15	0.23	0.48	0.01	0.56	0.02	101.56	2.52	236.51	1.31	117.98	1.35	0.30	0.10	1.54	0.13
NGC_6397	265.175385	-53.674335	338.165	-11.960	2.48	0.02	6.01	18.51	0.08	3.260	0.022	-17.664	0.023	0.00	5.92	0.02	-0.91	0.01	-0.52	0.00	58.52	0.13	106.26	0.25	-130.84	0.26	2.60	0.02	6.30	0.01
Pal_6	265.925812	-26.224995	2.090	1.779	7.05	0.45	1.19	177.00	1.35	-9.221	0.040	-5.345	0.037	0.04	1.29	0.49	0.25	0.02	0.21	0.02	-193.96	1.35	-48.22	1.23	178.00	1.28	0.30	0.09	2.32	0.76
NGC_6426	266.227960	3.170142	28.087	16.234	20.71	0.35	14.45	-210.51	0.51	-1.827	0.026	-2.999	0.026	0.02	-9.36	0.30	9.36	0.16	5.79	0.10	11.23	1.42	-149.50	2.30	-28.49	2.48	3.67	0.39	16.97	0.54
Djor_1	266.869583	-33.066389	356.675	-2.484	9.88	0.65	1.82	-359.18	1.64	-4.690	0.048	-8.465	0.041	-0.02	-1.68	0.65	-0.57	0.04	-0.43	0.03	374.13	1.63	-179.04	2.03	6.21	2.17	1.19	0.31	9.25	3.65
Ter_5	267.020200	-24.779055	3.839	1.687	6.62	0.15	1.65	-82.57	0.73	-1.996	0.069	-5.243	0.066	0.07	1.58	0.15	0.44	0.01	0.19	0.00	58.73	0.74	73.99	2.09	-26.42	2.15	0.24	0.04	1.65	0.15
